INFO  |  2018-10-26 01:16:39,198  |  main  |  Application started
INFO  |  2018-10-26 01:17:57,899  |  main  |  Application started
INFO  |  2018-10-26 01:19:56,827  |  main  |  Application started
INFO  |  2018-10-26 01:24:43,488  |  main  |  Application started
INFO  |  2018-10-26 01:25:28,365  |  main  |  Application started
INFO  |  2018-10-26 01:29:21,457  |  main  |  Application started
INFO  |  2018-10-26 01:29:21,832  |  main  |  API Initialized
INFO  |  2018-10-26 01:29:26,852  |  main  |  Application started
INFO  |  2018-10-26 01:32:34,774  |  main  |  Application started
INFO  |  2018-10-26 01:41:21,641  |  main  |  Application started
INFO  |  2018-10-26 01:41:51,751  |  main  |  Application started
INFO  |  2018-10-26 01:43:48,104  |  main  |  Application started
INFO  |  2018-10-26 01:48:55,327  |  main  |  Application started
INFO  |  2018-10-26 01:55:11,390  |  main  |  Application started
INFO  |  2018-10-26 03:09:07,388  |  main  |  Application started
INFO  |  2018-10-26 03:09:11,907  |  main  |  API Initialized
INFO  |  2018-10-26 03:13:16,819  |  main  |  Application started
INFO  |  2018-10-26 03:13:17,241  |  main  |  API Initialized
INFO  |  2018-10-26 03:13:22,971  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:14:05,357  |  main  |  Application started
INFO  |  2018-10-26 03:14:05,764  |  main  |  API Initialized
INFO  |  2018-10-26 03:14:15,557  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:16:33,397  |  main  |  Application started
INFO  |  2018-10-26 03:16:33,929  |  main  |  API Initialized
INFO  |  2018-10-26 03:16:55,633  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:25:09,703  |  main  |  Application started
INFO  |  2018-10-26 03:25:10,046  |  main  |  API Initialized
INFO  |  2018-10-26 03:25:35,517  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:27:26,329  |  main  |  Application started
INFO  |  2018-10-26 03:27:26,829  |  main  |  API Initialized
INFO  |  2018-10-26 03:27:40,729  |  main  |  Application started
INFO  |  2018-10-26 03:27:41,057  |  main  |  API Initialized
INFO  |  2018-10-26 03:28:42,210  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:32:17,291  |  main  |  Application started
INFO  |  2018-10-26 03:32:17,713  |  main  |  API Initialized with XML
INFO  |  2018-10-26 03:32:31,791  |  main  |  Attempting to upload file
INFO  |  2018-10-26 03:37:49,439  |  main  |  Application started
INFO  |  2018-10-26 03:37:49,877  |  main  |  API Initialized with XML
INFO  |  2018-10-26 03:38:08,215  |  main  |  Attempting to upload file
